Bot,Points
Gustavo3,7073
Danny's first,6909
Bains2,6905
Tit for Tat,6903
Rock_3,6851
Simon,6826
Cruelty,6783
Sujith,6772
gustavoSecond,6688
copykitr,6662
Always Defect,6648
Simon's Defect,6624
Sahib's,6606
Gambling,6591
Joe's Try,6519
Kitcat,6493
Gustavo4,6426
giyushino,6412
Rock 2,6412
copykitr2,6410
Insanity,6409
Danny's Defect,6356
Greedy Gary,6320
madness,6295
Sujith,6179
Gustavo's First,6154
Random,6103
Hyeon's First,6039
glass,5782
Joe's Bot,5740
Rock's First,5569
Last Straw,5403
Checks 3,5097
