,Peanut,Rocks fat bot,Sujith3,Gustavo6,Gavin's Simpl,joe,Last Straw,Rock_3,glass,copykitr2,Always Defect,Tit for Tat,Random,Chinese,Danny's copy,Dog,Joe's Bot,Danny's first,Hyeon's First,Gustavo's First,Sahib's,Checks 3,copykitr,madness,Danny's Defect,giyushino,gustavoSecond,Simon,Gambling,Rock's First,Greedy Gary,Simon's Defect,Rock 2,Sujith,Gustavo5,Joe's Try,Kitcat,Gustavo3,Sujith,Gustavo4,Bains2,Insanity,Cruelty,Rock 5,Rock 6
Peanut,,227 - 212,33 - 498,244 - 244,163 - 343,6 - 536,146 - 396,250 - 240,412 - 97,301 - 196,1 - 541,248 - 243,217 - 267,206 - 286,248 - 243,545 - 0,6 - 536,248 - 243,6 - 536,28 - 503,310 - 185,545 - 0,310 - 190,217 - 217,1 - 541,295 - 200,1 - 541,248 - 243,1 - 541,545 - 0,92 - 422,1 - 541,545 - 0,16 - 526,34 - 494,11 - 531,236 - 251,248 - 243,16 - 526,185 - 315,113 - 378,257 - 252,257 - 252,545 - 0,213 - 223
Rocks fat bot,212 - 227,,82 - 367,246 - 246,40 - 400,49 - 394,39 - 399,249 - 244,376 - 131,306 - 196,36 - 401,249 - 244,264 - 214,223 - 263,249 - 244,539 - 9,48 - 393,249 - 244,39 - 399,48 - 393,279 - 214,539 - 9,308 - 198,212 - 227,36 - 401,311 - 191,36 - 401,246 - 246,36 - 401,215 - 225,101 - 351,36 - 401,147 - 327,45 - 395,80 - 365,42 - 397,258 - 233,259 - 234,45 - 395,178 - 288,163 - 303,242 - 242,245 - 240,221 - 221,214 - 224
Sujith3,498 - 33,367 - 82,,133 - 133,97 - 157,123 - 143,523 - 33,261 - 111,398 - 68,205 - 120,100 - 145,144 - 139,327 - 82,145 - 155,124 - 119,527 - 27,129 - 144,142 - 137,106 - 131,100 - 145,265 - 120,521 - 36,188 - 133,479 - 49,102 - 137,170 - 130,95 - 165,163 - 158,91 - 181,466 - 56,180 - 140,102 - 137,307 - 87,109 - 149,137 - 137,104 - 154,159 - 124,147 - 127,109 - 149,253 - 123,122 - 152,147 - 147,160 - 150,461 - 66,298 - 113
Gustavo6,244 - 244,246 - 246,133 - 133,,109 - 109,318 - 313,329 - 324,329 - 324,301 - 296,321 - 316,109 - 109,275 - 270,256 - 256,124 - 124,275 - 270,329 - 324,275 - 270,275 - 270,112 - 112,109 - 109,329 - 324,329 - 324,329 - 324,244 - 244,109 - 109,280 - 275,109 - 109,112 - 112,109 - 109,248 - 243,161 - 161,109 - 109,293 - 288,116 - 116,164 - 164,114 - 114,235 - 230,328 - 323,116 - 116,200 - 200,275 - 270,221 - 216,329 - 324,291 - 291,268 - 268
Gavin's Simpl,343 - 163,400 - 40,157 - 97,109 - 109,,113 - 108,333 - 318,260 - 75,360 - 165,145 - 100,109 - 109,113 - 108,281 - 106,113 - 108,113 - 108,333 - 318,133 - 103,113 - 108,113 - 108,109 - 109,300 - 175,333 - 318,128 - 108,343 - 163,109 - 109,113 - 108,109 - 109,124 - 109,109 - 109,347 - 162,165 - 95,109 - 109,396 - 171,120 - 110,193 - 88,117 - 107,137 - 102,137 - 102,120 - 110,255 - 90,113 - 108,113 - 108,124 - 109,396 - 171,321 - 56
joe,536 - 6,394 - 49,143 - 123,313 - 318,108 - 113,,327 - 327,327 - 327,413 - 58,231 - 181,107 - 117,327 - 327,322 - 107,188 - 203,327 - 327,327 - 327,269 - 284,327 - 327,106 - 131,106 - 121,327 - 327,327 - 327,327 - 327,536 - 6,106 - 121,274 - 179,105 - 125,327 - 327,103 - 133,534 - 9,179 - 114,100 - 145,126 - 126,109 - 139,168 - 118,110 - 125,191 - 166,327 - 327,109 - 139,251 - 96,265 - 285,131 - 126,327 - 327,528 - 18,318 - 63
Last Straw,396 - 146,399 - 39,33 - 523,324 - 329,318 - 333,327 - 327,,275 - 140,237 - 387,291 - 351,0 - 545,327 - 327,147 - 447,267 - 367,327 - 327,327 - 327,168 - 433,327 - 327,3 - 543,64 - 354,327 - 327,327 - 327,327 - 327,0 - 545,0 - 545,12 - 537,0 - 545,327 - 327,3 - 543,3 - 543,142 - 147,0 - 545,165 - 435,37 - 427,33 - 523,6 - 541,294 - 349,327 - 327,37 - 427,219 - 184,125 - 195,324 - 329,327 - 327,168 - 433,286 - 141
Rock_3,240 - 250,244 - 249,111 - 261,324 - 329,75 - 260,327 - 327,140 - 275,,289 - 294,318 - 318,71 - 261,327 - 327,225 - 280,198 - 268,327 - 327,327 - 327,318 - 318,327 - 327,74 - 259,86 - 261,327 - 327,327 - 327,327 - 327,240 - 250,71 - 261,260 - 285,71 - 261,268 - 278,71 - 261,243 - 248,134 - 264,71 - 261,286 - 296,79 - 259,100 - 260,77 - 257,251 - 281,327 - 327,79 - 259,195 - 280,271 - 276,324 - 329,327 - 327,289 - 294,265 - 280
glass,97 - 412,131 - 376,68 - 398,296 - 301,165 - 360,58 - 413,387 - 237,294 - 289,,313 - 253,25 - 445,291 - 291,218 - 328,252 - 307,301 - 296,365 - 270,28 - 448,305 - 300,33 - 428,44 - 424,324 - 304,379 - 249,354 - 274,112 - 387,29 - 429,279 - 289,30 - 425,287 - 287,32 - 437,99 - 409,90 - 420,21 - 461,200 - 355,37 - 442,47 - 442,37 - 422,259 - 294,312 - 297,37 - 442,180 - 350,145 - 350,287 - 292,307 - 302,247 - 302,196 - 346
copykitr2,196 - 301,196 - 306,120 - 205,316 - 321,100 - 145,181 - 231,351 - 291,318 - 318,253 - 313,,94 - 169,318 - 318,221 - 316,213 - 288,315 - 315,343 - 303,121 - 176,314 - 309,100 - 160,97 - 157,327 - 307,349 - 294,349 - 294,189 - 309,98 - 153,232 - 307,99 - 149,302 - 312,102 - 137,194 - 304,134 - 209,97 - 157,194 - 334,106 - 151,133 - 213,104 - 149,290 - 325,315 - 315,106 - 151,190 - 295,149 - 284,311 - 316,313 - 313,201 - 366,181 - 386
Always Defect,541 - 1,401 - 36,145 - 100,109 - 109,109 - 109,117 - 107,545 - 0,261 - 71,445 - 25,169 - 94,,113 - 108,325 - 55,113 - 108,113 - 108,545 - 0,125 - 105,113 - 108,113 - 108,109 - 109,269 - 69,545 - 0,121 - 106,541 - 1,109 - 109,113 - 108,109 - 109,121 - 106,109 - 109,545 - 0,169 - 94,109 - 109,545 - 0,121 - 106,193 - 88,117 - 107,161 - 96,145 - 100,121 - 106,269 - 69,113 - 108,113 - 108,121 - 106,545 - 0,321 - 56
Tit for Tat,243 - 248,244 - 249,139 - 144,270 - 275,108 - 113,327 - 327,327 - 327,327 - 327,291 - 291,318 - 318,108 - 113,,257 - 262,179 - 184,327 - 327,327 - 327,274 - 274,327 - 327,110 - 115,108 - 113,327 - 327,327 - 327,327 - 327,243 - 248,108 - 113,127 - 132,108 - 113,110 - 115,108 - 113,246 - 246,148 - 153,108 - 113,291 - 291,114 - 119,156 - 161,112 - 117,273 - 273,327 - 327,114 - 119,221 - 226,273 - 273,291 - 291,327 - 327,289 - 294,267 - 272
Random,267 - 217,214 - 264,82 - 327,256 - 256,106 - 281,107 - 322,447 - 147,280 - 225,328 - 218,316 - 221,55 - 325,262 - 257,,218 - 253,235 - 230,441 - 156,57 - 362,233 - 233,55 - 335,63 - 328,324 - 214,435 - 165,370 - 200,240 - 255,52 - 337,308 - 193,56 - 321,265 - 260,50 - 360,282 - 212,93 - 313,49 - 349,264 - 264,63 - 338,80 - 315,67 - 307,237 - 252,247 - 232,63 - 338,209 - 269,136 - 291,248 - 253,254 - 249,300 - 230,235 - 260
Chinese,286 - 206,263 - 223,155 - 145,124 - 124,108 - 113,203 - 188,367 - 267,268 - 198,307 - 252,288 - 213,108 - 113,184 - 179,253 - 218,,115 - 110,381 - 246,151 - 136,175 - 170,110 - 115,108 - 113,315 - 255,365 - 270,344 - 299,273 - 218,108 - 113,166 - 141,108 - 113,111 - 111,108 - 113,272 - 222,154 - 134,108 - 113,111 - 111,116 - 116,167 - 152,112 - 117,199 - 179,180 - 150,116 - 116,218 - 178,117 - 117,143 - 138,176 - 166,320 - 245,280 - 220
Danny's copy,243 - 248,244 - 249,119 - 124,270 - 275,108 - 113,327 - 327,327 - 327,327 - 327,296 - 301,315 - 315,108 - 113,327 - 327,230 - 235,110 - 115,,327 - 327,318 - 318,327 - 327,110 - 115,108 - 113,327 - 327,327 - 327,327 - 327,243 - 248,108 - 113,116 - 121,108 - 113,110 - 115,108 - 113,246 - 246,158 - 163,108 - 113,291 - 291,114 - 119,162 - 162,112 - 117,231 - 231,327 - 327,114 - 119,201 - 206,273 - 273,291 - 291,327 - 327,289 - 294,267 - 272
